"id","country","long_jump","shotput","high_jump","hurdles","javelin","age","sport"
325,"EST",7.42,13.73,2.11,15.27,58.19,8056,"Decathlon"
423,"UKR",6.38,12.92,1.83,13.74,48.43,9068,"Heptathlon"
365,"RUS",6.19,12.18,1.71,14.05,40,6583,"Heptathlon"
430,"RUS",7.25,13.55,1.88,14.71,51.52,11455,"Decathlon"
372,"EST",5.95,14.05,1.72,14.09,52.68,11959,"Heptathlon"
569,"UKR",5.95,12.45,1.66,14.47,38.08,7835,"Heptathlon"
40,"RUS",5.97,12.96,1.83,14.69,43.96,8953,"Heptathlon"
56,"RUS",6.04,13.94,1.69,15.03,49.7,7855,"Heptathlon"
344,"RUS",7.4,16.13,2.03,14.04,58.13,11103,"Decathlon"
714,"RUS",6.33,12.48,1.88,14.01,32.5,8137,"Heptathlon"
454,"RUS",6.04,12.88,1.6,13.81,34.69,8537,"Heptathlon"
724,"UKR",6.33,13.74,1.69,13.99,49.48,9872,"Heptathlon"
350,"NED",6.95,13.65,1.89,14.97,69.24,9492,"Decathlon"
557,"NED",6.06,13.67,1.8,13.57,38.03,9409,"Heptathlon"
422,"UKR",5.85,13.05,1.73,14.45,44.32,10309,"Heptathlon"
253,"RUS",5.88,13.2,1.71,14.14,36.25,10709,"Heptathlon"
429,"RUS",7.27,13.97,2,14.6,48.17,8581,"Decathlon"
188,"RUS",6.95,15.14,1.88,14.6,48.13,9216,"Decathlon"
619,"RUS",7.05,14.5,2,15.59,65.03,9538,"Decathlon"
530,"RUS",6.4,13.13,1.64,14.74,32.7,7515,"Heptathlon"
309,"EST",7.42,14.29,1.85,15.09,57.99,8280,"Decathlon"
687,"UKR",6.02,12.87,1.84,14.62,42.07,10390,"Heptathlon"
534,"NED",5.8,12.09,1.69,14.22,38.68,8104,"Heptathlon"
448,"RUS",5.98,11.89,1.77,14.65,36.85,6595,"Heptathlon"
451,"UKR",5.75,14.3,1.76,14.53,42.62,11839,"Heptathlon"
45,"RUS",7.16,14.03,2,14.86,49.32,9686,"Decathlon"
562,"EST",6.91,13.49,1.98,14.61,58.98,9317,"Decathlon"
34,"NED",5.93,12.2,1.78,15.27,35.97,6872,"Heptathlon"
57,"RUS",6.03,11.61,1.77,14.26,38.05,8179,"Heptathlon"
58,"RUS",5.82,14.1,1.7,14.7,39,7809,"Heptathlon"
529,"RUS",6.37,14.5,1.68,13.85,36.12,8613,"Heptathlon"
669,"RUS",6.17,12.98,1.89,14.2,49.4,8897,"Heptathlon"
605,"UKR",7.46,14.66,1.93,15.16,54.34,8626,"Decathlon"
634,"RUS",5.83,13.73,1.73,14.38,37.69,8923,"Heptathlon"
522,"UKR",6.1,12.77,1.73,13.44,37.49,8763,"Heptathlon"
141,"NED",6.47,13.47,1.63,13.27,39.76,6976,"Heptathlon"
420,"RUS",5.86,14.43,1.74,14.8,42.27,7757,"Heptathlon"
50,"RUS",7.55,14.33,1.94,14.56,58.7,7433,"Decathlon"
99,"NED",5.75,13.09,1.64,14.4,54.97,7777,"Heptathlon"
598,"UKR",7.78,12.91,2.01,15.1,53.42,8188,"Decathlon"
674,"RUS",5.73,11.12,1.75,13.84,29.62,8253,"Heptathlon"
259,"RUS",6.09,13.39,1.7,14.09,39.85,12226,"Heptathlon"
680,"RUS",5.91,11.86,1.79,14.83,41.72,8239,"Heptathlon"
363,"RUS",5.87,11.93,1.89,14.43,40.42,8953,"Heptathlon"
650,"RUS",6.45,13,1.75,14.36,44.14,8739,"Heptathlon"
320,"RUS",6.23,12.07,1.72,13.57,39.27,8219,"Heptathlon"
43,"RUS",5.5,12.07,1.68,14.16,40.56,7768,"Heptathlon"
681,"EST",6.45,9,1.81,14.05,35.08,9632,"Heptathlon"
488,"NED",5.77,13.12,1.7,14.29,40.23,9198,"Heptathlon"
77,"NED",6.99,13.8,1.84,14.61,57.65,7445,"Decathlon"
178,"RUS",5.88,12.82,1.71,14.14,36.4,6881,"Heptathlon"
404,"EST",7.31,14.54,1.9,14.85,57.86,9640,"Decathlon"
368,"EST",6.41,10.02,1.73,13.89,32.75,6875,"Heptathlon"
72,"RUS",5.96,13.17,1.83,15.03,35.4,10746,"Heptathlon"
449,"NED",5.43,12.71,1.67,14.33,41.4,6199,"Heptathlon"
324,"EST",7.4,15.26,2,14.48,59.2,9844,"Decathlon"
7,"EST",7.46,13.01,1.99,15.74,58.87,7680,"Decathlon"
164,"RUS",6.3,12.36,1.86,13.66,40.47,8913,"Heptathlon"
290,"NED",7.34,13.91,2.02,15.2,53.4,9259,"Decathlon"
14,"RUS",6.07,12.33,1.58,14.63,32.8,7015,"Heptathlon"
414,"UKR",6.89,14.85,1.94,14.93,53.53,9017,"Decathlon"
15,"RUS",7.02,15.29,2.06,14.78,64.16,9482,"Decathlon"
22,"UKR",6.15,12.94,1.92,14.72,51.52,6337,"Heptathlon"
715,"RUS",6.28,11.8,1.82,14.28,35.59,9130,"Heptathlon"
665,"RUS",6.15,12.19,1.79,14.51,44.43,7824,"Heptathlon"
44,"RUS",7.39,14.62,2,15.31,60.3,8110,"Decathlon"
725,"RUS",5.94,11.75,1.63,13.98,41.27,6798,"Heptathlon"
467,"NED",5.66,12.34,1.69,14.38,43.62,8165,"Heptathlon"
167,"RUS",6.08,13.1,1.74,13.96,41.18,8792,"Heptathlon"
18,"RUS",7.36,13.74,2,14.42,55,8067,"Decathlon"
266,"UKR",5.81,12.7,1.77,14.41,36.41,6519,"Heptathlon"
65,"NED",7.12,13.64,1.91,14.22,54.06,10911,"Decathlon"
620,"RUS",7.42,13.89,1.97,15.04,53.38,8585,"Decathlon"
632,"UKR",7.1,13.12,2.06,14.72,51.36,9531,"Decathlon"
455,"RUS",6.08,11.09,1.79,14.74,33.28,7100,"Heptathlon"
689,"EST",5.98,12.78,1.78,13.87,41.69,10796,"Heptathlon"
716,"UKR",5.84,11.98,1.82,14.35,34.35,7953,"Heptathlon"
590,"NED",5.61,14.33,1.72,14.49,43.54,7871,"Heptathlon"
453,"RUS",7.35,12.62,2.03,15.06,48.9,7257,"Decathlon"
187,"RUS",7.63,13.94,2.07,14.8,51.5,7488,"Decathlon"
591,"NED",5.35,12.98,1.76,14.74,47.8,9467,"Heptathlon"
524,"RUS",6.17,13.33,1.67,14.91,39.03,8377,"Heptathlon"
283,"EST",7.25,12.36,1.92,15.51,55.14,6708,"Decathlon"
502,"RUS",6.01,11.24,1.78,13.89,38.31,7120,"Heptathlon"
161,"RUS",7.62,14.39,1.93,15.09,59.08,8183,"Decathlon"
405,"EST",7.35,13.21,1.9,15.77,50.96,8921,"Decathlon"
46,"UKR",7.29,13.42,2.07,15.07,53.32,8180,"Decathlon"
428,"RUS",6.86,15.27,2.02,14.64,59.53,12715,"Decathlon"
232,"UKR",6.83,13.31,1.97,15.51,54.54,9244,"Decathlon"
190,"UKR",7.35,12.7,2.06,14.56,58.8,9662,"Decathlon"
224,"EST",7.58,13.89,2.09,15.06,52.97,8138,"Decathlon"
729,"RUS",6.05,11.08,1.68,14.48,40.98,8073,"Heptathlon"
312,"NED",6,12.2,1.75,13.59,29.91,7372,"Heptathlon"
191,"NED",5.56,10.97,1.72,14.46,49.31,6530,"Heptathlon"
523,"UKR",6.01,12.32,1.67,14.82,43.96,8526,"Heptathlon"
566,"EST",6.16,12.61,1.62,14.4,37.72,10609,"Heptathlon"
666,"RUS",5.91,11.81,1.73,15.06,41.98,7107,"Heptathlon"
480,"EST",6.8,12.85,1.89,15.04,57.08,7804,"Decathlon"
528,"UKR",7.19,13.95,1.94,15.41,52.63,8095,"Decathlon"
303,"EST",7.54,13.26,2.01,14.8,49.4,8574,"Decathlon"
163,"EST",5.97,11.77,1.72,14.17,33.02,7086,"Heptathlon"
661,"NED",5.54,12.35,1.71,14.38,48.83,7001,"Heptathlon"
27,"UKR",7.02,15.03,1.94,15.27,62.87,7742,"Decathlon"
